N,time_bellman,time_dijkstra
1024,0.015000,0.000224
1025,0.014931,0.000156
1026,0.015305,0.000065
1027,0.015083,0.000084
1028,0.014858,0.000103
1029,0.016998,0.000201
1030,0.016932,0.000135
1031,0.015528,0.000179
1032,0.015308,0.000064
1033,0.014882,0.000160
1034,0.015153,0.000192
1035,0.014576,0.000245
1036,0.014593,0.000228
1037,0.018226,0.000048
1038,0.014891,0.000104
1039,0.015429,0.000145
1040,0.015069,0.000103
1041,0.014636,0.000067
1042,0.015141,0.000082
1043,0.014916,0.000067
1044,0.017505,0.000091
1045,0.015890,0.000163
1046,0.014681,0.000092
1047,0.015339,0.000058
1048,0.015057,0.000083
1049,0.015083,0.000134
1050,0.015900,0.000112
1051,0.015773,0.000192
1052,0.018223,0.000058
1053,0.015872,0.000039
1054,0.015192,0.000101
1055,0.015208,0.000101
1056,0.015372,0.000081
1057,0.015094,0.000187
1058,0.014527,0.000237
1059,0.017218,0.000370
1060,0.019260,0.000054
1061,0.015265,0.000110
1062,0.015307,0.000154
1063,0.016046,0.000151
1064,0.014731,0.000168
1065,0.014535,0.000393
1066,0.015946,0.000318
1067,0.016735,0.000102
1068,0.014555,0.000080
1069,0.015687,0.000183
1070,0.014980,0.000062
1071,0.014627,0.000120
1072,0.015177,0.000105
1073,0.014951,0.000040
1074,0.017743,0.000157
1075,0.013657,0.000066
1076,0.015181,0.000105
1077,0.014905,0.000145
1078,0.015967,0.000209
1079,0.017727,0.000155
1080,0.016454,0.000070
1081,0.017837,0.000126
1082,0.016174,0.000087
1083,0.015042,0.000119
1084,0.014984,0.000118
1085,0.014922,0.000076
1086,0.015512,0.000154
1087,0.014727,0.000082
1088,0.016225,0.000187
1089,0.017547,0.000186
1090,0.014787,0.000180
1091,0.014498,0.000164
1092,0.014937,0.000264
1093,0.014900,0.000112
1094,0.014634,0.000059
1095,0.016373,0.000159
1096,0.017190,0.000224
1097,0.014814,0.000099
1098,0.014566,0.000049
1099,0.014770,0.000040
1100,0.014778,0.000085
1101,0.016367,0.000143
1102,0.017900,0.000195
1103,0.021443,0.000143
1104,0.019537,0.000094
1105,0.019201,0.000112
1106,0.020044,0.000166
1107,0.014383,0.000146
1108,0.014688,0.000083
1109,0.016481,0.000113
1110,0.016503,0.000110
1111,0.014973,0.000110
1112,0.015878,0.000135
1113,0.018345,0.000212
1114,0.017058,0.000132
1115,0.017366,0.000129
1116,0.021151,0.000330
1117,0.017677,0.000177
1118,0.019023,0.000134
1119,0.017360,0.000127
1120,0.017013,0.000130
1121,0.015381,0.000148
1122,0.015593,0.000172
1123,0.016883,0.000162
1124,0.016187,0.000086
1125,0.014894,0.000066
1126,0.014847,0.000106
1127,0.014524,0.000121
1128,0.014626,0.000213
1129,0.015127,0.000169
1130,0.018654,0.000359
1131,0.015561,0.000134
1132,0.014735,0.000240
1133,0.014922,0.000061
1134,0.014864,0.000159
1135,0.014426,0.000190
1136,0.014685,0.000023
1137,0.016480,0.000110
1138,0.017001,0.000027
1139,0.015554,0.000040
1140,0.015577,0.000119
1141,0.015631,0.000118
1142,0.015165,0.000030
1143,0.015779,0.000117
1144,0.015557,0.000131
1145,0.017307,0.000117
1146,0.015354,0.000116
